City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Haines Junction,CA,77.22,scattered clouds,60.7522,-137.5108,Parkside Inn
8,Monrovia,LR,76.19,light rain,6.3005,-10.7969,Sunset Inn
9,Maragogi,BR,75.02,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
10,Gold Coast,AU,75.18,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
13,Kathu,TH,84.02,broken clouds,7.9178,98.3332,Novotel Phuket Resort
21,Norsup,VU,82.09,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
26,Surin,TH,84.99,overcast clouds,14.8818,103.4936,One Fu Hotel
30,Kilindoni,TZ,76.59,clear sky,-7.9139,39.6668,Bustani B&B
35,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
38,Jinchang,CN,80.38,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
39,Aklavik,CA,87.15,clear sky,68.2191,-135.0107,Aklavik Inn
41,Luganville,VU,82.45,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
45,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
46,Atuona,PF,77.72,few clouds,-9.8,-139.0333,Villa Enata
54,Nakamura,JP,85.14,light rain,32.9833,132.9333,Hotel Crown Hills Nakamura
73,Kavieng,PG,82.83,light rain,-2.5744,150.7967,Nusa Island Retreat
79,Olpad,IN,80.47,overcast clouds,21.3333,72.75,IDTCATERING
81,Parasia,IN,76.53,overcast clouds,22.2,78.7667,Hotel Navrang
82,Lugovoy,KZ,76.06,few clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
88,Fomboni,KM,76.39,clear sky,-12.28,43.7425,Auberge les abou
90,Korla,CN,83.14,clear sky,41.7597,86.1469,Gulisitan Hotel
92,Bengkulu,ID,82.09,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
99,Tual,ID,78.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
100,Honiara,SB,86.72,overcast clouds,-9.4333,159.95,Heritage Park Hotel
103,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
106,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
107,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
114,Maningrida,AU,78.33,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
117,Saint Anthony,US,78.73,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
120,Meulaboh,ID,81.48,broken clouds,4.1363,96.1285,Kost Pria
125,Areia Branca,BR,76.91,moderate rain,-4.9561,-37.1369,Areia Branca Apart Hotel
128,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
129,Rapid Valley,US,82.72,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
130,Dingle,PH,83.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Rosarito,MX,75.67,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
142,Victoria,HK,88.97,overcast clouds,22.2855,114.1577,Mini Central
143,Samarai,PG,83.01,scattered clouds,-10.6167,150.6667,Nuli Sapi
144,Ugoofaaru,MV,82.96,light rain,5.6667,73.0,Ungoofaaru Inn
147,Butaritari,KI,82.44,light rain,3.0707,172.7902,Isles Sunset Lodge
151,Tezpur,IN,84.65,few clouds,26.6333,92.8,Hotel Kanyapur
156,Dong Hoi,VN,88.48,overcast clouds,17.4833,106.6,Nam Long Hotel
157,Nassau,US,81.93,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
159,Amalapuram,IN,79.77,overcast clouds,16.5833,82.0167,swayamprabha service apartments
166,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
170,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
177,Port Arthur,CN,76.91,overcast clouds,38.8,121.2667,Friendship Hotel
180,Yingcheng,CN,86.09,broken clouds,30.95,113.55,Yingcheng Hotel
182,Jalu,LY,80.17,clear sky,29.0331,21.5482,صاحبة الفخامة
184,Laguna,US,82.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
186,Whitehorse,CA,78.1,thunderstorm with light rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
188,Sao Filipe,CV,75.04,overcast clouds,14.8961,-24.4956,Hotel Xaguate
193,Tura,IN,81.93,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
200,Pangkalanbuun,ID,86.0,few clouds,-2.6833,111.6167,Grand Kecubung Hotel
204,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
205,Tezu,IN,83.75,broken clouds,27.9167,96.1667,Circuit House
206,Mogadishu,SO,75.74,moderate rain,2.0371,45.3438,Hotel Juba
207,Syracuse,IT,77.32,clear sky,37.0881,15.2792,Hotel Posta
209,Lethem,GY,76.64,broken clouds,3.3803,-59.7968,Savannah Inn
214,Dalbandin,PK,84.96,overcast clouds,28.8947,64.4101,Sanjrani House
217,Vao,NC,75.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
219,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
222,Fairbanks,US,85.6,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
224,Aloleng,PH,84.69,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
227,Chifeng,CN,80.51,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
228,Hamilton,US,76.05,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
230,Naze,JP,79.72,moderate rain,28.3667,129.4833,Shishime Hotel
233,Labuhan,ID,80.1,broken clouds,-6.8844,112.2051,DoubleFAG
235,Kandrian,PG,86.34,overcast clouds,-6.2167,149.55,Kandrian Station
245,Wuzhou,CN,76.59,overcast clouds,23.4833,111.3167,Wuzhou Hostel
255,Yamoto,JP,75.29,broken clouds,38.4274,141.2149,下宿夢21
259,Gizo,SB,85.3,overcast clouds,-8.103,156.8419,Imagination Island
261,Faanui,PF,79.07,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
262,Sibolga,ID,83.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
263,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
267,Kupang,ID,79.36,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
268,Muscle Shoals,US,77.88,few clouds,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
275,Itaituba,BR,76.57,broken clouds,-4.2761,-55.9836,Hotel Campos
280,Namatanai,PG,82.71,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
281,Sinnamary,GF,77.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
282,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
286,Makaha,US,82.31,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
287,Bulri,PK,85.6,few clouds,24.8667,68.3333,
292,Darab,IR,85.24,few clouds,28.7519,54.5444,Naghshe shapoor Hotel
296,Svobodnyy,RU,75.43,overcast clouds,51.4,128.1333,Alekseevskij Hotel
299,Dyersburg,US,89.51,clear sky,36.0345,-89.3856,Hampton Inn Dyersburg
302,Vaitape,PF,79.07,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
304,Ipixuna,BR,75.79,broken clouds,-1.7625,-48.8043,Chalé do Mato
305,Coronado,US,77.95,broken clouds,32.6859,-117.1831,Hilton San Diego Bayfront
307,Muli,MV,82.04,moderate rain,2.9167,73.5667,Medhufushi Island Resort
311,Cockburn Town,TC,81.81,clear sky,21.4612,-71.1419,Osprey Beach Hotel
314,Norman Wells,CA,86.04,smoke,65.282,-126.8329,Heritage Hotel
315,Hobyo,SO,75.96,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
317,Locri,IT,77.32,clear sky,38.2414,16.2623,Grand Hotel President
318,Mecca,SA,85.8,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
320,Kaitong,CN,80.82,broken clouds,44.8135,123.15,Jinhe Fashion Hotel
324,Jiexiu,CN,88.3,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
326,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
333,Poum,NC,77.4,overcast clouds,-20.2333,164.0167,
337,Yucaipa,US,82.87,clear sky,34.0336,-117.0431,Yucaipa Regional Park
338,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
340,Hurghada,EG,80.58,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
341,Anloga,GH,77.11,broken clouds,5.7947,0.8973,Pin Drop Hotel
342,Bandarbeyla,SO,78.57,scattered clouds,9.4942,50.8122,JABIR HOTEL
344,Bethel,US,75.07,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
345,Kolokani,ML,75.22,light rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
349,Esmeralda,CU,76.3,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
352,Takoradi,GH,75.63,overcast clouds,4.8845,-1.7554,Raybow International Hotel
