City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Barrow,71.2906,-156.7887,48.22,87,100,14.97,US,overcast clouds
1,Kapaa,22.0752,-159.319,82.38,76,40,16.11,US,scattered clouds
2,Kenitra,34.261,-6.5802,66.96,84,0,1.01,MA,clear sky
3,Punta Arenas,-53.15,-70.9167,30.31,93,0,10.36,CL,clear sky
4,Vaini,-21.2,-175.2,77.16,69,20,6.91,TO,few clouds
5,Haines Junction,60.7522,-137.5108,77.22,34,43,7.99,CA,scattered clouds
6,Mount Gambier,-37.8333,140.7667,52.95,63,72,10.07,AU,broken clouds
7,Severo-Kurilsk,50.6789,156.125,56.52,64,100,10.27,RU,overcast clouds
8,Monrovia,6.3005,-10.7969,76.19,84,27,6.38,LR,light rain
9,Maragogi,-9.0122,-35.2225,75.02,87,0,11.56,BR,clear sky
10,Gold Coast,-28.0,153.4333,75.18,75,40,3.44,AU,scattered clouds
11,Albany,42.6001,-73.9662,67.06,83,16,3.94,US,few clouds
12,Rikitea,-23.1203,-134.9692,74.39,75,21,18.01,PF,few clouds
13,Kathu,7.9178,98.3332,84.02,99,78,8.25,TH,broken clouds
14,Busselton,-33.65,115.3333,52.77,82,100,10.67,AU,overcast clouds
15,Shelburne,44.0787,-80.2041,58.12,93,2,4.47,CA,clear sky
16,Touros,-5.1989,-35.4608,74.07,94,54,10.49,BR,broken clouds
17,Maridi,4.9158,29.4742,66.0,87,69,4.9,SS,broken clouds
18,Altay,47.8667,88.1167,67.78,42,0,3.53,CN,clear sky
19,Abha,18.2164,42.5053,66.02,32,99,0.0,SA,overcast clouds
20,Vardo,70.3705,31.1107,51.78,82,17,6.91,NO,few clouds
21,Norsup,-16.0667,167.3833,82.09,78,80,14.74,VU,broken clouds
22,Sambava,-14.2667,50.1667,69.06,82,50,11.16,MG,light rain
23,Chuy,-33.6971,-53.4616,59.88,98,100,10.58,UY,overcast clouds
24,Pevek,69.7008,170.3133,33.82,86,41,11.05,RU,scattered clouds
25,Camana,-16.6228,-72.7111,60.53,86,96,9.35,PE,overcast clouds
26,Surin,14.8818,103.4936,84.99,99,100,8.77,TH,overcast clouds
27,Izhma,65.0083,53.9113,67.23,76,100,4.12,RU,overcast clouds
28,Khatanga,71.9667,102.5,43.23,88,100,14.05,RU,moderate rain
29,Upernavik,72.7868,-56.1549,40.28,83,7,1.34,GL,clear sky
30,Kilindoni,-7.9139,39.6668,76.59,74,5,15.9,TZ,clear sky
31,Kindu,-2.95,25.95,67.1,53,19,2.64,CD,few clouds
32,Carazinho,-28.2839,-52.7864,61.57,68,100,14.09,BR,overcast clouds
33,Qaanaaq,77.484,-69.3632,40.06,95,100,1.68,GL,overcast clouds
34,Kruisfontein,-34.0033,24.7314,53.58,59,0,7.52,ZA,clear sky
35,Komsomolskiy,40.4272,71.7189,84.92,14,0,13.8,UZ,clear sky
36,Saskylakh,71.9167,114.0833,61.5,41,89,10.42,RU,overcast clouds
37,Esperance,-33.8667,121.9,57.04,81,86,14.14,AU,overcast clouds
38,Jinchang,38.4953,102.1739,80.38,21,14,20.18,CN,few clouds
39,Aklavik,68.2191,-135.0107,87.15,27,6,7.99,CA,clear sky
40,Gao,16.6362,1.637,90.39,31,98,6.64,ML,overcast clouds
41,Luganville,-15.5333,167.1667,82.45,77,95,10.89,VU,overcast clouds
42,Asau,46.4333,26.4,59.92,97,100,3.53,RO,overcast clouds
43,Mahebourg,-20.4081,57.7,69.26,71,98,14.85,MU,overcast clouds
44,Jamestown,42.097,-79.2353,67.59,84,0,6.91,US,clear sky
45,Hithadhoo,-0.6,73.0833,82.06,76,64,10.13,MV,broken clouds
46,Atuona,-9.8,-139.0333,77.72,80,22,25.55,PF,few clouds
47,Urusha,54.05,122.9,67.75,73,85,10.6,RU,light rain
48,Turukhansk,65.8167,87.9833,56.75,82,100,3.31,RU,overcast clouds
49,Boddam,57.4667,-1.7833,52.18,89,46,20.02,GB,scattered clouds
50,Castro,-24.7911,-50.0119,55.04,71,100,3.2,BR,overcast clouds
51,Hermanus,-34.4187,19.2345,52.74,71,10,8.59,ZA,clear sky
52,Kuytun,54.3419,101.5036,56.8,92,100,9.31,RU,light rain
